datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-08-18 20:00:00,1724025600000,0.5641402621351506,ripple,usd,31699229123.507595,617194458.1864655
2024-08-19 20:00:00,1724112000000,0.5991141923286195,ripple,usd,33637408468.498966,1755788084.835185
2024-08-20 20:00:00,1724198400000,0.594394755189024,ripple,usd,33333279765.967487,1401494292.4529498
2024-08-21 20:00:00,1724284800000,0.6003970672361606,ripple,usd,33743715595.89921,1278773168.6333387
2024-08-22 20:00:00,1724371200000,0.5976871187626694,ripple,usd,33589114363.11003,1006578176.215835
2024-08-23 20:00:00,1724457600000,0.6102506382532653,ripple,usd,34283938679.53692,1400222917.466907
2024-08-24 20:00:00,1724544000000,0.6139391687850385,ripple,usd,34491160674.30759,1209425430.7483633
2024-08-25 20:00:00,1724630400000,0.5995127578984722,ripple,usd,33680683543.769005,934683774.9393411
2024-08-26 20:00:00,1724716800000,0.5872790171235059,ripple,usd,32999976385.4302,1188834411.2691946
2024-08-27 20:00:00,1724803200000,0.5670252246535126,ripple,usd,31857488696.739094,1648249019.2532597
2024-08-28 20:00:00,1724889600000,0.5696993284601568,ripple,usd,32069384452.160854,1500729830.1107528
2024-08-29 20:00:00,1724976000000,0.561506372583823,ripple,usd,31585196062.886494,1064481734.9849228
2024-08-30 20:00:00,1725062400000,0.5673490796111339,ripple,usd,31919312705.246872,1204954666.5125787
2024-08-31 20:00:00,1725148800000,0.5658008208842239,ripple,usd,31833847986.957657,459737907.0343127
2024-09-01 20:00:00,1725235200000,0.5482578347068274,ripple,usd,30827802335.402847,703228575.3986151
2024-09-02 20:00:00,1725321600000,0.5671557310315145,ripple,usd,31895124484.312572,935981359.5257839
2024-09-03 20:00:00,1725408000000,0.5574298894520976,ripple,usd,31460288618.283867,948169272.4189343
2024-09-04 20:00:00,1725494400000,0.5579234385989325,ripple,usd,31353043205.675346,1303738904.947038
2024-09-05 20:00:00,1725580800000,0.5441098914201123,ripple,usd,30607113388.506454,1036536574.2933264
2024-09-06 20:00:00,1725667200000,0.5213130558804894,ripple,usd,29371557075.01245,1723136656.842356
2024-09-07 20:00:00,1725753600000,0.5247980291815724,ripple,usd,29548526637.092266,587212770.4091364
2024-09-08 20:00:00,1725840000000,0.5285291709201617,ripple,usd,29774154782.962955,521287660.7729989
2024-09-09 20:00:00,1725926400000,0.5396089614101646,ripple,usd,30395333618.446358,904225267.2384489
2024-09-10 20:00:00,1726012800000,0.5409989520278039,ripple,usd,30471929007.34304,785524580.6774228
2024-09-11 20:00:00,1726099200000,0.5355035586141155,ripple,usd,30175701058.586052,1003832742.0187716
2024-09-12 20:00:00,1726185600000,0.5625110835184267,ripple,usd,31713263515.45175,1755892728.7051384
2024-09-13 20:00:00,1726272000000,0.5731586762437418,ripple,usd,32316749262.834507,1315658124.0994296
2024-09-14 20:00:00,1726358400000,0.5963129007980363,ripple,usd,33606464240.420605,1221362269.0817983
2024-09-15 20:00:00,1726444800000,0.5710582563848365,ripple,usd,32178771098.00021,727164005.125297
2024-09-16 20:00:00,1726531200000,0.5855052549961755,ripple,usd,33045852897.93933,1373012324.854466
2024-09-17 20:00:00,1726617600000,0.5849889783458981,ripple,usd,32985201750.25279,1080504462.4947681
2024-09-18 20:00:00,1726704000000,0.5854354281725553,ripple,usd,32970524763.027065,1301476892.0261323
2024-09-19 20:00:00,1726790400000,0.5874083871859748,ripple,usd,33147629638.33711,1303901084.522276
